|Hastings Highlands| 85           
|North Bay| 86 355.0  320.0 115.0 1360.0 1530.0 475.0 1665.0 1740.0 1565.0 1540.0
Ottawa 87 400.0 320.0  465.0 365.0 620.0 245.0 500.0 645.0 600.0 585.0
|Greater Sudbury / Grand Sudbury| 88 1635.0 105.0 455.0  330.0 500.0 590.0 635.0 710.0 535.0 510.0
Toronto 89 975.0 1095.0 415.0 330.0  125.0 120.0 155.0 90.0 145.0 155.0
Barrie 90 1020.0 1345.0 500.0 580.0 100.0  295.0 465.0 360.0 310.0 300.0
Peterborough 91 120.0 1745.0 275.0 569.0 110.0 319.0  395.0 360.0 345.0 470.0
|Port Colborne| 92 1410.0 1730.0 505.0 965.0 200.0 715.0 365.0  365.0 300.0 540.0
Hamilton 93 2595.0 1030.0 540.0 630.0 75.0 380.0 345.0 515.0  95.0 165.0
Kitchener 94 2400.0 1305.0 500.0 540.0 125.0 290.0 435.0 425.0 90.0  95.0
London 95 2385.0 1185.0 590.0 420.0 139.0 319.0 360.0 485.0 170.0 95.0 
