|Hastings Highlands| 85  268507.0 212381.0 391981.0 268615.0 206320.0 129278.0 412521.0 333700.0 357688.0 437717.0
|North Bay| 86 269128.0  354965.0 124691.0 354168.0 247767.0 319639.0 474665.0 395844.0 412376.0 499661.0
Ottawa 87 211854.0 354271.0  477745.0 410984.0 410739.0 269699.0 593208.0 475815.0 499803.0 625661.0
|Greater Sudbury / Grand Sudbury| 88 391971.0 124110.0 477808.0  406498.0 300096.0 405659.0 526995.0 448174.0 464706.0 551991.0
Toronto 89 265848.0 354600.0 449123.0 407600.0  108133.0 138966.0 146505.0 67936.0 106830.0 191273.0
Barrie 90 205525.0 247569.0 410473.0 300569.0 107873.0  158482.0 228371.0 145702.0 166082.0 253367.0
Peterborough 91 129278.0 318753.0 269740.0 406162.0 139251.0 158835.0  283157.0 204336.0 228324.0 308353.0
|Port Colborne| 92 410374.0 475092.0 593649.0 528092.0 146156.0 228625.0 283492.0  92249.0 158798.0 219651.0
Hamilton 93 331448.0 396166.0 514723.0 449166.0 67471.0 145705.0 204566.0 91695.0  64979.0 128316.0
Kitchener 94 348606.0 412672.0 538821.0 465672.0 106313.0 166205.0 228664.0 156798.0 64308.0  108395.0
London 95 436471.0 500537.0 626687.0 553537.0 191414.0 254070.0 309589.0 198030.0 128530.0 110126.0 
